"IDENCCC","ORDENTRA","NUTS1","CNACE","ESTRATO2","CONTROL","MERCADO","REGULACION","SEXO","TIPOPAIS","CNO1","RESPONSA","ESTU","ANOANTI","MESANTI","TIPOJOR","TIPOCON","FIJODISM","FIJODISD","VAL","VAN","PUENTES","JAP","JSP1","JSP2","HEXTRA","DRELABM","SIESPM1","DSIESPM1","SIESPM2","DSIESPM2","SALBASE","EXTRAORM","PHEXTRA","COMSAL","COMSALTT","IRPFMES","COTIZA","BASE","DRELABAM","DRELABAD","SIESPA1","DSIESPA1","SIESPA2","DSIESPA2","SIESPA3","DSIESPA3","SIESPA4","DSIESPA4","RETRINOIN","RETRIIN","GEXTRA","VESPNOIN","VESPIN","ANOS2","FACTOTAL"
21318,3,2,"F0",1,1,2,2,1,1,"L0",0,4,12,8,1,2,0,0,0,30,0,1736,40,0,0,31,6,0,6,0,1219.44,0,0,840.49,0,383.92,157.39,2459.07,12,0,1,12,6,0,6,0,6,0,27810.48,417.06,4581.13,0,0,4,30.99
16532,5,2,"F0",2,2,2,2,1,1,"L0",0,5,14,10,1,1,0,0,0,30,0,1760,40,0,0,31,6,0,6,0,1561.41,0,0,0,0,173,99.15,1561.41,12,0,6,0,6,0,6,0,6,0,18443.96,0,2636.76,0,0,3,62.76
22925,8,3,"G2",3,2,4,2,1,1,"D0",0,5,14,4,1,1,0,0,0,31,0,1784,35,0,0,31,6,0,6,0,878.25,0,0,1180.49,0,326.51,152.52,2401.86,12,0,6,0,6,0,1,300,6,0,33725.2,0,7153.85,60,0,3,56.56
4922,12,3,"G2",3,2,2,1,6,1,"G0",0,5,3,2,2,1,0,0,0,31,0,1120,20,0,0,31,1,6,6,0,588.79,0,0,0,0,0,42.22,664.85,12,0,1,6,6,0,6,0,6,0,8959.19,65.37,1959.12,0,0,3,28.24
11276,9,2,"C8",2,2,2,2,6,2,"M0",0,2,3,3,1,1,0,0,30,0,0,1760,40,0,0,31,1,31,6,0,1442.97,0,0,0,0,67.93,93.39,1470.64,12,0,1,365,6,0,6,0,6,0,0,17315.6,0,0,0,4,35.81
18396,4,5,"G2",3,2,2,3,6,1,"G0",0,5,39,4,1,1,0,0,0,31,0,1792,39,31,0,31,6,0,6,0,1430.72,0,0,14.46,0.96,162.28,106.79,1681.73,12,0,1,8,6,0,6,0,6,0,19838.66,257.89,2894.98,26.14,0,5,60.56
5531,17,5,"Q0",3,2,2,2,6,1,"B0",0,6,28,2,1,1,0,0,0,30,14,1734,39,0,0,31,6,0,6,0,1895.76,0,0,696.56,0,498.34,194.72,3066.28,12,0,6,0,6,0,6,0,6,0,39242.15,0,4750.3,0,0,5,48.24
21409,23,2,"O0",3,1,1,3,1,1,"C0",1,7,32,0,1,1,0,0,22,0,3,1620,40,0,0,31,6,0,6,0,1238.68,0,0,4006.17,0,1311.21,198.69,4139.4,12,0,1,3,6,0,6,0,6,0,70689.96,349.66,6729.88,48.04,0,6,62.92
4110,5,3,"M0",1,2,3,2,1,1,"D0",0,6,0,3,1,1,0,0,22,0,0,1765,40,15,0,31,6,0,6,0,1623.8,0,0,459.53,0,0,132.29,2083.33,5,20,6,0,6,0,6,0,6,0,11874.99,0,0,0,0,2,263.35
25121,1,3,"E0",1,2,2,2,6,1,"C0",0,7,1,0,1,1,0,0,22,0,4,1742,40,0,0,31,6,0,6,0,2273,0,0,0,0,308.47,168.41,2652.08,12,0,6,0,6,0,6,0,6,0,30931.65,0,4450.71,0,0,4,2.71
